date,sku,qty,description
2023-01-01,BOWL-24,9,24oz Salad Bowl
2023-01-01,CARR-4CUP,1,4-Cup Carrier
2023-01-01,CLAM-BURG,5,Burger Clamshell
2023-01-01,CUP-12OZ,5,12oz Paper Cup
2023-01-01,CUP-16OZ,3,16oz Paper Cup
2023-01-01,CUP-8OZ,5,8oz Paper Cup
2023-01-01,LID-90,5,90mm Dome Lid
2023-01-01,NAP-33,8,33cm Napkin
2023-01-02,BOWL-24,8,24oz Salad Bowl
2023-01-02,CLAM-BURG,1,Burger Clamshell
2023-01-02,CUP-12OZ,5,12oz Paper Cup
2023-01-02,CUP-16OZ,3,16oz Paper Cup
2023-01-02,CUP-8OZ,5,8oz Paper Cup
2023-01-02,LID-90,5,90mm Dome Lid
2023-01-02,NAP-33,6,33cm Napkin
2023-01-03,BOWL-24,10,24oz Salad Bowl
2023-01-03,CLAM-BURG,1,Burger Clamshell
2023-01-03,CUP-12OZ,5,12oz Paper Cup
2023-01-03,CUP-16OZ,5,16oz Paper Cup
2023-01-03,CUP-8OZ,5,8oz Paper Cup
2023-01-03,LID-90,6,90mm Dome Lid
2023-01-03,NAP-33,7,33cm Napkin
2023-01-04,BOWL-24,12,24oz Salad Bowl
2023-01-04,CLAM-BURG,3,Burger Clamshell
2023-01-04,CUP-12OZ,5,12oz Paper Cup
2023-01-04,CUP-16OZ,1,16oz Paper Cup
2023-01-04,CUP-8OZ,5,8oz Paper Cup
2023-01-04,LID-90,4,90mm Dome Lid
2023-01-04,NAP-33,7,33cm Napkin
2023-01-04,SLEEVE-12,20,12oz Cup Sleeve
2023-01-05,BOWL-24,2,24oz Salad Bowl
2023-01-05,CLAM-BURG,4,Burger Clamshell
2023-01-05,CUP-12OZ,4,12oz Paper Cup
2023-01-05,CUP-16OZ,3,16oz Paper Cup
2023-01-05,CUP-8OZ,5,8oz Paper Cup
2023-01-05,LID-90,5,90mm Dome Lid
2023-01-05,NAP-33,7,33cm Napkin
2023-01-06,BOWL-24,4,24oz Salad Bowl
2023-01-06,CLAM-BURG,2,Burger Clamshell
2023-01-06,CUP-12OZ,2,12oz Paper Cup
2023-01-06,CUP-16OZ,2,16oz Paper Cup
2023-01-06,CUP-8OZ,3,8oz Paper Cup
2023-01-06,LID-90,3,90mm Dome Lid
2023-01-06,NAP-33,4,33cm Napkin
2023-01-07,BOWL-24,14,24oz Salad Bowl
2023-01-07,CLAM-BURG,5,Burger Clamshell
2023-01-07,CUP-12OZ,5,12oz Paper Cup
2023-01-07,CUP-16OZ,2,16oz Paper Cup
2023-01-07,CUP-8OZ,5,8oz Paper Cup
2023-01-07,LID-90,6,90mm Dome Lid
2023-01-07,NAP-33,8,33cm Napkin
2023-01-08,BOWL-24,10,24oz Salad Bowl
2023-01-08,CLAM-BURG,3,Burger Clamshell
2023-01-08,CUP-12OZ,4,12oz Paper Cup
2023-01-08,CUP-16OZ,5,16oz Paper Cup
2023-01-08,CUP-8OZ,6,8oz Paper Cup
2023-01-08,LID-90,6,90mm Dome Lid
2023-01-08,NAP-33,10,33cm Napkin
2023-01-09,BOWL-24,13,24oz Salad Bowl
2023-01-09,CARR-4CUP,1,4-Cup Carrier
2023-01-09,CLAM-BURG,4,Burger Clamshell
2023-01-09,CUP-12OZ,5,12oz Paper Cup
2023-01-09,CUP-16OZ,2,16oz Paper Cup
2023-01-09,CUP-8OZ,5,8oz Paper Cup
2023-01-09,LID-90,5,90mm Dome Lid
2023-01-09,NAP-33,7,33cm Napkin
2023-01-10,BOWL-24,10,24oz Salad Bowl
2023-01-10,CLAM-BURG,2,Burger Clamshell
2023-01-10,CUP-12OZ,5,12oz Paper Cup
2023-01-10,CUP-16OZ,3,16oz Paper Cup
2023-01-10,CUP-8OZ,5,8oz Paper Cup
2023-01-10,LID-90,5,90mm Dome Lid
2023-01-10,NAP-33,7,33cm Napkin
2023-01-10,SLEEVE-12,21,12oz Cup Sleeve
2023-01-11,BOWL-24,11,24oz Salad Bowl
2023-01-11,CLAM-BURG,4,Burger Clamshell
2023-01-11,CUP-12OZ,5,12oz Paper Cup
2023-01-11,CUP-16OZ,3,16oz Paper Cup
2023-01-11,CUP-8OZ,5,8oz Paper Cup
2023-01-11,LID-90,5,90mm Dome Lid
2023-01-11,NAP-33,7,33cm Napkin
2023-01-12,BOWL-24,10,24oz Salad Bowl
2023-01-12,CLAM-BURG,4,Burger Clamshell
2023-01-12,CUP-12OZ,4,12oz Paper Cup
2023-01-12,CUP-16OZ,2,16oz Paper Cup
2023-01-12,CUP-8OZ,5,8oz Paper Cup
2023-01-12,LID-90,6,90mm Dome Lid
2023-01-12,NAP-33,7,33cm Napkin
2023-01-13,BOWL-24,5,24oz Salad Bowl
2023-01-13,CLAM-BURG,1,Burger Clamshell
2023-01-13,CUP-12OZ,2,12oz Paper Cup
2023-01-13,CUP-16OZ,1,16oz Paper Cup
2023-01-13,CUP-8OZ,3,8oz Paper Cup
2023-01-13,LID-90,3,90mm Dome Lid
2023-01-13,NAP-33,5,33cm Napkin
2023-01-14,CLAM-BURG,2,Burger Clamshell
2023-01-14,CUP-12OZ,5,12oz Paper Cup
2023-01-14,CUP-16OZ,3,16oz Paper Cup
2023-01-14,CUP-8OZ,5,8oz Paper Cup
2023-01-14,LID-90,5,90mm Dome Lid
2023-01-14,NAP-33,8,33cm Napkin
2023-01-15,BOWL-24,11,24oz Salad Bowl
2023-01-15,CLAM-BURG,3,Burger Clamshell
2023-01-15,CUP-12OZ,5,12oz Paper Cup
2023-01-15,CUP-16OZ,3,16oz Paper Cup
2023-01-15,CUP-8OZ,7,8oz Paper Cup
2023-01-15,LID-90,6,90mm Dome Lid
2023-01-15,NAP-33,7,33cm Napkin
2023-01-16,BOWL-24,2,24oz Salad Bowl
2023-01-16,CLAM-BURG,1,Burger Clamshell
2023-01-16,CUP-12OZ,5,12oz Paper Cup
2023-01-16,CUP-16OZ,3,16oz Paper Cup
2023-01-16,CUP-8OZ,6,8oz Paper Cup
2023-01-16,LID-90,5,90mm Dome Lid
2023-01-16,NAP-33,7,33cm Napkin
2023-01-17,BOWL-24,7,24oz Salad Bowl
2023-01-17,CLAM-BURG,2,Burger Clamshell
2023-01-17,CUP-12OZ,5,12oz Paper Cup
2023-01-17,CUP-16OZ,4,16oz Paper Cup
2023-01-17,CUP-8OZ,6,8oz Paper Cup
2023-01-17,LID-90,5,90mm Dome Lid
2023-01-17,NAP-33,8,33cm Napkin
2023-01-18,BOWL-24,12,24oz Salad Bowl
2023-01-18,CARR-4CUP,1,4-Cup Carrier
2023-01-18,CLAM-BURG,3,Burger Clamshell
2023-01-18,CUP-12OZ,4,12oz Paper Cup
2023-01-18,CUP-16OZ,4,16oz Paper Cup
2023-01-18,CUP-8OZ,5,8oz Paper Cup
2023-01-18,LID-90,5,90mm Dome Lid
2023-01-18,NAP-33,8,33cm Napkin
2023-01-19,BOWL-24,4,24oz Salad Bowl
2023-01-19,CLAM-BURG,3,Burger Clamshell
2023-01-19,CUP-12OZ,4,12oz Paper Cup
2023-01-19,CUP-16OZ,2,16oz Paper Cup
2023-01-19,CUP-8OZ,5,8oz Paper Cup
2023-01-19,LID-90,5,90mm Dome Lid
2023-01-19,NAP-33,7,33cm Napkin
2023-01-20,BOWL-24,4,24oz Salad Bowl
2023-01-20,CARR-4CUP,1,4-Cup Carrier
2023-01-20,CLAM-BURG,2,Burger Clamshell
2023-01-20,CUP-12OZ,2,12oz Paper Cup
2023-01-20,CUP-16OZ,3,16oz Paper Cup
2023-01-20,CUP-8OZ,3,8oz Paper Cup
2023-01-20,LID-90,3,90mm Dome Lid
2023-01-20,NAP-33,4,33cm Napkin
2023-01-21,BOWL-24,6,24oz Salad Bowl
2023-01-21,CLAM-BURG,4,Burger Clamshell
2023-01-21,CUP-12OZ,5,12oz Paper Cup
2023-01-21,CUP-16OZ,3,16oz Paper Cup
2023-01-21,CUP-8OZ,6,8oz Paper Cup
2023-01-21,LID-90,7,90mm Dome Lid
2023-01-21,NAP-33,8,33cm Napkin
2023-01-22,BOWL-24,7,24oz Salad Bowl
2023-01-22,CLAM-BURG,2,Burger Clamshell
2023-01-22,CUP-12OZ,6,12oz Paper Cup
2023-01-22,CUP-16OZ,5,16oz Paper Cup
2023-01-22,CUP-8OZ,6,8oz Paper Cup
2023-01-22,LID-90,5,90mm Dome Lid
2023-01-22,NAP-33,9,33cm Napkin
2023-01-23,BOWL-24,4,24oz Salad Bowl
2023-01-23,CARR-4CUP,2,4-Cup Carrier
2023-01-23,CLAM-BURG,3,Burger Clamshell
2023-01-23,CUP-12OZ,4,12oz Paper Cup
2023-01-23,CUP-16OZ,4,16oz Paper Cup
2023-01-23,CUP-8OZ,5,8oz Paper Cup
2023-01-23,LID-90,6,90mm Dome Lid
2023-01-23,NAP-33,7,33cm Napkin
2023-01-24,BOWL-24,12,24oz Salad Bowl
2023-01-24,CARR-4CUP,2,4-Cup Carrier
2023-01-24,CLAM-BURG,2,Burger Clamshell
2023-01-24,CUP-12OZ,4,12oz Paper Cup
2023-01-24,CUP-16OZ,3,16oz Paper Cup
2023-01-24,CUP-8OZ,5,8oz Paper Cup
2023-01-24,LID-90,5,90mm Dome Lid
2023-01-24,NAP-33,7,33cm Napkin
2023-01-24,SLEEVE-12,12,12oz Cup Sleeve
2023-01-25,BOWL-24,2,24oz Salad Bowl
2023-01-25,CLAM-BURG,3,Burger Clamshell
2023-01-25,CUP-12OZ,5,12oz Paper Cup
2023-01-25,CUP-16OZ,2,16oz Paper Cup
2023-01-25,CUP-8OZ,5,8oz Paper Cup
2023-01-25,LID-90,6,90mm Dome Lid
2023-01-25,NAP-33,6,33cm Napkin
2023-01-26,BOWL-24,1,24oz Salad Bowl
2023-01-26,CARR-4CUP,2,4-Cup Carrier
2023-01-26,CLAM-BURG,3,Burger Clamshell
2023-01-26,CUP-12OZ,5,12oz Paper Cup
2023-01-26,CUP-16OZ,4,16oz Paper Cup
2023-01-26,CUP-8OZ,5,8oz Paper Cup
2023-01-26,LID-90,5,90mm Dome Lid
2023-01-26,NAP-33,7,33cm Napkin
2023-01-27,BOWL-24,7,24oz Salad Bowl
2023-01-27,CLAM-BURG,3,Burger Clamshell
2023-01-27,CUP-12OZ,2,12oz Paper Cup
2023-01-27,CUP-8OZ,3,8oz Paper Cup
2023-01-27,LID-90,3,90mm Dome Lid
2023-01-27,NAP-33,4,33cm Napkin
2023-01-28,BOWL-24,6,24oz Salad Bowl
2023-01-28,CLAM-BURG,3,Burger Clamshell
2023-01-28,CUP-12OZ,5,12oz Paper Cup
2023-01-28,CUP-16OZ,4,16oz Paper Cup
2023-01-28,CUP-8OZ,6,8oz Paper Cup
2023-01-28,LID-90,6,90mm Dome Lid
2023-01-28,NAP-33,9,33cm Napkin
2023-01-29,BOWL-24,12,24oz Salad Bowl
2023-01-29,CLAM-BURG,5,Burger Clamshell
2023-01-29,CUP-12OZ,4,12oz Paper Cup
2023-01-29,CUP-16OZ,6,16oz Paper Cup
2023-01-29,CUP-8OZ,6,8oz Paper Cup
2023-01-29,LID-90,5,90mm Dome Lid
2023-01-29,NAP-33,8,33cm Napkin
2023-01-30,BOWL-24,10,24oz Salad Bowl
